Turbo Decoder End-to-End Report
symbols=6144 n_half_iter=11 f1=263 f2=480 total_outputs=6144 expected_outputs=6144
final_decision_symbols=6144 bit_errors_vs_original=4570
idx_orig pi_inv bit_orig bit_int_at_pi_inv l_sys_orig l_par1_orig l_par2_int final_llr hard_dec match_orig
493 3659 0 0 4 15 7 -44 1 ERR
494 1186 0 0 15 -9 10 -20 1 ERR
495 4281 1 1 -12 14 5 -40 1 OK
496 656 1 1 -3 14 -16 36 0 ERR
497 2599 0 0 10 -4 -11 -64 1 ERR
498 3966 1 1 -10 -8 -11 63 0 ERR
499 4757 0 0 1 15 10 40 0 OK
500 4972 1 1 -8 -8 11 -20 1 OK
501 4611 0 0 12 -4 10 -64 1 ERR
502 3674 1 1 -10 -3 15 52 0 ERR
503 2161 0 0 10 -9 13 -64 1 ERR
504 72 1 1 -16 15 9 31 0 ERR
505 3551 1 1 -8 -6 8 59 0 ERR
506 310 1 1 -8 -11 -5 53 0 ERR
507 2637 1 1 -15 15 11 34 0 ERR
508 4388 0 0 5 -12 -16 -39 1 ERR
509 5563 1 1 0 5 15 -6 1 OK
510 18 0 0 1 -7 1 -33 1 ERR
511 41 1 1 -7 13 -16 35 0 ERR
512 5632 1 1 -5 15 -11 19 0 ERR
513 4503 1 1 -3 2 12 46 0 ERR
514 2798 1 1 -16 -16 15 48 0 ERR
515 517 1 1 -10 8 15 37 0 ERR
516 3804 0 0 5 15 -7 -32 1 ERR
517 371 0 0 14 8 -15 -25 1 ERR
518 2506 0 0 10 -1 -3 -9 1 ERR
519 4065 0 0 15 15 8 -27 1 ERR
520 5048 1 1 -14 -7 -11 17 0 ERR
521 5455 0 0 8 5 15 -3 1 ERR
522 5286 0 0 8 -16 -16 -3 1 ERR
523 4541 0 0 15 15 15 -46 1 ERR
524 3220 0 0 14 1 -9 -30 1 ERR
525 1323 0 0 8 -10 -5 -34 1 ERR
526 4994 0 0 15 -11 -16 -31 1 ERR
527 1945 0 0 15 -16 7 -63 1 ERR
528 4464 0 0 10 15 -16 -64 1 ERR
529 263 0 0 5 -13 -10 -59 1 ERR
530 1630 1 1 -6 -16 11 31 0 ERR
531 2421 0 0 14 15 15 -50 1 ERR
532 2636 0 0 12 10 -5 -64 1 ERR
