total_symbols=6144
rtl_coverage=6144
rtl_bit_errors_vs_original=4570
rtl_ber_vs_original=0.74381510
fixed_reference_bit_errors_vs_original=6141
fixed_reference_ber_vs_original=0.99951172
hard_errors_vs_reference=1571
sign_mismatch_vs_reference=1571
mean_abs_llr_delta=40.471354
floating_coverage=6144
floating_reference_bit_errors_vs_original=6139
floating_reference_ber_vs_original=0.99918620
hard_errors_vs_floating=1573
sign_mismatch_vs_floating=1573
mean_abs_llr_delta_vs_floating=52215.269648

RTL vs Fixed-Point Reference (Original Domain)
idx bit_orig ref_hard rtl_hard ref_llr rtl_llr sign_match rtl_match_orig ref_match_orig
386 1 0 0 63.00000000 53 OK ERR ERR
387 1 0 1 63.00000000 -64 ERR OK ERR
388 1 0 0 63.00000000 36 OK ERR ERR
389 1 0 0 63.00000000 21 OK ERR ERR
390 0 1 1 -64.00000000 -39 OK ERR ERR
391 0 1 1 -64.00000000 -64 OK ERR ERR
392 0 1 1 -64.00000000 -44 OK ERR ERR
393 0 1 1 -64.00000000 -33 OK ERR ERR
394 0 1 1 -64.00000000 -60 OK ERR ERR
395 0 1 0 -64.00000000 58 ERR OK ERR
396 1 0 0 63.00000000 30 OK ERR ERR
397 0 1 0 -64.00000000 45 ERR OK ERR
398 1 0 0 63.00000000 13 OK ERR ERR
399 0 1 1 -64.00000000 -7 OK ERR ERR
400 0 1 0 -64.00000000 20 ERR OK ERR
401 1 0 0 63.00000000 27 OK ERR ERR
402 1 0 1 63.00000000 -15 ERR OK ERR
403 1 0 1 63.00000000 -22 ERR OK ERR
404 1 0 1 63.00000000 -17 ERR OK ERR
405 1 0 0 63.00000000 14 OK ERR ERR
406 0 1 1 -64.00000000 -34 OK ERR ERR
407 0 1 1 -64.00000000 -22 OK ERR ERR
408 0 1 1 -64.00000000 -15 OK ERR ERR
409 0 1 0 -64.00000000 48 ERR OK ERR
410 0 1 1 -64.00000000 -3 OK ERR ERR
411 0 1 0 -64.00000000 24 ERR OK ERR
412 0 1 1 -64.00000000 -15 OK ERR ERR
413 0 1 1 -64.00000000 -24 OK ERR ERR
414 1 0 0 63.00000000 37 OK ERR ERR
415 0 1 1 -64.00000000 -24 OK ERR ERR
416 0 1 0 -64.00000000 5 ERR OK ERR
417 0 1 1 -64.00000000 -20 OK ERR ERR
418 1 0 0 63.00000000 48 OK ERR ERR
419 1 0 0 63.00000000 51 OK ERR ERR
420 0 1 1 -64.00000000 -59 OK ERR ERR
421 1 0 0 63.00000000 43 OK ERR ERR
422 0 1 1 -64.00000000 -56 OK ERR ERR
423 0 1 0 -64.00000000 5 ERR OK ERR
424 1 0 1 63.00000000 -15 ERR OK ERR
425 0 1 1 -64.00000000 -47 OK ERR ERR
426 0 1 0 -64.00000000 13 ERR OK ERR
427 1 0 0 63.00000000 45 OK ERR ERR
428 0 1 1 -64.00000000 -42 OK ERR ERR
429 0 1 1 -64.00000000 -31 OK ERR ERR
430 1 0 1 63.00000000 -24 ERR OK ERR
431 0 1 1 -64.00000000 -54 OK ERR ERR
432 0 1 1 -64.00000000 -64 OK ERR ERR
433 1 0 0 63.00000000 42 OK ERR ERR
434 0 1 1 -64.00000000 -16 OK ERR ERR
435 1 0 0 63.00000000 35 OK ERR ERR
436 0 1 1 -64.00000000 -16 OK ERR ERR
437 0 1 1 -64.00000000 -51 OK ERR ERR
438 0 1 1 -64.00000000 -22 OK ERR ERR
439 0 1 1 -64.00000000 -50 OK ERR ERR
440 0 1 1 -64.00000000 -49 OK ERR ERR
441 0 1 1 -64.00000000 -36 OK ERR ERR
442 0 1 1 -64.00000000 -43 OK ERR ERR
443 1 0 0 63.00000000 37 OK ERR ERR
444 0 1 0 -64.00000000 11 ERR OK ERR
445 0 1 1 -64.00000000 -14 OK ERR ERR
446 1 0 0 63.00000000 32 OK ERR ERR
447 1 0 0 63.00000000 14 OK ERR ERR
448 0 1 1 -64.00000000 -15 OK ERR ERR
449 0 1 0 -64.00000000 13 ERR OK ERR
450 1 0 1 63.00000000 -13 ERR OK ERR
451 1 0 0 63.00000000 11 OK ERR ERR
452 0 1 0 -64.00000000 22 ERR OK ERR
453 1 0 1 63.00000000 -21 ERR OK ERR
454 1 0 0 63.00000000 26 OK ERR ERR
455 1 0 1 63.00000000 -21 ERR OK ERR
456 1 0 0 63.00000000 18 OK ERR ERR
457 0 1 1 -64.00000000 -12 OK ERR ERR
458 1 0 0 63.00000000 20 OK ERR ERR
459 0 1 1 -64.00000000 -20 OK ERR ERR
460 1 0 0 63.00000000 5 OK ERR ERR
461 0 1 1 -64.00000000 -25 OK ERR ERR
