# idx_orig bit_orig post_llr hard
787 0 -28697.92120544 0
788 0 -25343.29014995 0
789 1 33981.36255661 1
790 0 -24517.77015064 0
791 1 26316.19810806 1
792 0 -31623.77246220 0
793 0 -28418.15616580 0
794 1 28604.10291570 1
795 0 -31037.87290231 0
796 1 38160.84244707 1
797 0 -27756.98169953 0
798 0 -33892.09370456 0
799 0 -33920.12040478 0
800 1 28113.92220442 1
801 1 32012.83679593 1
802 1 31127.32239849 1
803 0 -36968.75433221 0
804 1 19538.66879680 1
805 1 36338.11761693 1
806 0 -34343.92244448 0
807 1 26979.92080327 1
808 1 28546.65086645 1
809 0 -27978.69198247 0
810 1 33684.34853608 1
811 1 22903.19719973 1
812 0 -33135.26107146 0
813 0 -34796.81737418 0
814 0 -28239.84357078 0
815 0 -32000.96027996 0
816 0 -23716.92342041 0
817 0 -32757.66550961 0
818 1 32214.38500853 1
819 0 -40738.38508977 0
820 0 -34658.76463875 0
821 0 -30363.56553521 0
822 1 30370.92112946 1
823 0 -20857.91119043 0
824 1 31181.93870582 1
825 1 24648.75595847 1
826 1 24236.47583365 1
827 0 -29493.92103350 0
828 0 -23713.72216840 0
829 1 26932.09548800 1
830 0 -20026.28776127 0
831 0 -26921.51939527 0
832 1 26912.00863716 1
833 0 -23059.83452221 0
834 1 28084.91070478 1
835 0 -26915.87616212 0
836 0 -28660.29317582 0
837 0 -27614.20882434 0
838 1 29398.93470044 1
839 1 25910.37086293 1
840 0 -29491.12884440 0
841 0 -25031.53359182 0
842 1 28958.79206191 1
843 0 -28879.38168592 0
844 0 -31094.88172273 0
845 1 27109.08069529 1
846 0 -29436.45315574 0
847 0 -28701.13131528 0
848 0 -24860.63770732 0
849 1 25673.43858974 1
850 0 -25264.27302029 0
851 0 -30159.37655656 0
852 0 -32306.01629634 0
853 0 -28567.16598510 0
854 0 -31375.41259111 0
855 0 -29388.42472226 0
856 0 -29024.11581681 0
857 1 29224.79134642 1
858 1 31242.94562484 1
859 0 -30889.75356489 0
860 1 20542.92321790 1
861 1 29131.90508413 1
862 0 -26490.77693841 0
863 0 -25147.61833946 0
864 0 -24015.59384670 0
865 0 -21519.83257857 0
866 0 -31559.16916058 0
867 1 22179.15005873 1
868 1 29410.27271989 1
869 0 -24527.20775974 0
870 0 -25231.94039143 0
871 1 24093.38982097 1
872 1 23396.56378022 1
873 0 -29855.62589144 0
